experiment,purpose,model,test_f1,unseen_f1,adversarial_evasion_f1,ood_stress_f1,ood_stress_recall,ood_stress_fpr,blind_manual_f1,hard_negative_fpr,threshold,model_error_count,expected_result
Raw text BiLSTM,Baseline sequence model on unnormalized logs,Raw BiLSTM,1.0,1.0,0.9523809523809524,0.782608695652174,0.75,0.1666666666666666,1.0,0.0,0.4999999999999999,132,Improves robustness or exposes a weakness under fair split evaluation.
Normalized text BiLSTM,Tests canonicalization value,Normalized BiLSTM,1.0,1.0,0.9523809523809524,0.5454545454545454,0.5,0.3333333333333333,1.0,0.0,0.4999999999999999,196,Improves robustness or exposes a weakness under fair split evaluation.
BiLSTM with attention,Tests attention pooling under evasion and false-positive stress,BiLSTM + Attention,1.0,1.0,1.0,0.4680851063829787,0.3055555555555556,0.0,1.0,0.0,0.4999999999999999,100,Improves robustness or exposes a weakness under fair split evaluation.
Normalized text + canonical signal,Tests explicit signal features,BiLSTM + Signal,1.0,1.0,0.9523809523809524,0.5641025641025641,0.4583333333333333,0.1666666666666666,1.0,0.0,0.4999999999999999,178,Improves robustness or exposes a weakness under fair split evaluation.
Regex only,Signature-based comparison,Regex Baseline,1.0,1.0,0.8421052631578947,0.2,0.1666666666666666,0.5,0.3636363636363636,0.4777777777777778,0.7,508,Improves robustness or exposes a weakness under fair split evaluation.
